"tub","pos","trt","climate","soil","sterile","tea","genotype"
55,1,8,"it","sw",1,"it","Sw11"
55,2,8,"it","sw",1,"it","It15"
55,3,8,"it","sw",1,"it","Sw7"
55,4,8,"it","sw",1,"it","Sw43"
55,5,8,"it","sw",1,"it","Sw47"
55,6,8,"it","sw",1,"it","It32"
55,7,8,"it","sw",1,"it","It41"
55,8,8,"it","sw",1,"it","It24"
60,1,8,"it","sw",1,"it","Sw43"
60,2,8,"it","sw",1,"it","Sw11"
60,3,8,"it","sw",1,"it","It41"
60,4,8,"it","sw",1,"it","Sw47"
60,5,8,"it","sw",1,"it","It32"
60,6,8,"it","sw",1,"it","It24"
60,7,8,"it","sw",1,"it","Sw7"
60,8,8,"it","sw",1,"it","It15"
25,1,9,"it","peat",1,"it","Sw7"
25,2,9,"it","peat",1,"it","It41"
25,3,9,"it","peat",1,"it","It24"
25,4,9,"it","peat",1,"it","Sw11"
25,5,9,"it","peat",1,"it","Sw43"
25,6,9,"it","peat",1,"it","Sw47"
25,7,9,"it","peat",1,"it","It32"
25,8,9,"it","peat",1,"it","It15"
71,1,9,"it","peat",1,"it","It24"
71,2,9,"it","peat",1,"it","Sw43"
71,3,9,"it","peat",1,"it","Sw11"
71,4,9,"it","peat",1,"it","It41"
71,5,9,"it","peat",1,"it","It32"
71,6,9,"it","peat",1,"it","Sw47"
71,7,9,"it","peat",1,"it","It15"
71,8,9,"it","peat",1,"it","Sw7"
73,1,9,"it","peat",1,"it","Sw47"
73,2,9,"it","peat",1,"it","Sw11"
73,3,9,"it","peat",1,"it","Sw7"
73,4,9,"it","peat",1,"it","It15"
73,5,9,"it","peat",1,"it","It32"
73,6,9,"it","peat",1,"it","It41"
73,7,9,"it","peat",1,"it","Sw43"
73,8,9,"it","peat",1,"it","It24"
47,1,9,"it","peat",1,"it","Sw47"
47,2,9,"it","peat",1,"it","Sw7"
47,3,9,"it","peat",1,"it","It32"
47,4,9,"it","peat",1,"it","It41"
47,5,9,"it","peat",1,"it","Sw43"
47,6,9,"it","peat",1,"it","It24"
47,7,9,"it","peat",1,"it","Sw11"
47,8,9,"it","peat",1,"it","It15"
3,1,9,"it","peat",1,"it","It41"
3,2,9,"it","peat",1,"it","Sw11"
3,3,9,"it","peat",1,"it","Sw47"
3,4,9,"it","peat",1,"it","Sw43"
3,5,9,"it","peat",1,"it","Sw7"
3,6,9,"it","peat",1,"it","It15"
3,7,9,"it","peat",1,"it","It24"
3,8,9,"it","peat",1,"it","It32"
20,1,9,"it","peat",1,"it","It15"
20,2,9,"it","peat",1,"it","It24"
20,3,9,"it","peat",1,"it","It41"
20,4,9,"it","peat",1,"it","Sw11"
20,5,9,"it","peat",1,"it","Sw7"
20,6,9,"it","peat",1,"it","Sw47"
20,7,9,"it","peat",1,"it","It32"
20,8,9,"it","peat",1,"it","Sw43"
36,1,9,"it","peat",1,"it","It41"
36,2,9,"it","peat",1,"it","Sw43"
36,3,9,"it","peat",1,"it","It15"
36,4,9,"it","peat",1,"it","Sw7"
36,5,9,"it","peat",1,"it","Sw11"
36,6,9,"it","peat",1,"it","Sw47"
36,7,9,"it","peat",1,"it","It32"
36,8,9,"it","peat",1,"it","It24"
29,1,9,"it","peat",1,"it","It15"
29,2,9,"it","peat",1,"it","It41"
29,3,9,"it","peat",1,"it","Sw11"
29,4,9,"it","peat",1,"it","It24"
29,5,9,"it","peat",1,"it","It32"
29,6,9,"it","peat",1,"it","Sw47"
29,7,9,"it","peat",1,"it","Sw7"
29,8,9,"it","peat",1,"it","Sw43"
2,1,10,"it","peat",1,"sw","It41"
2,2,10,"it","peat",1,"sw","Sw47"
2,3,10,"it","peat",1,"sw","Sw11"
2,4,10,"it","peat",1,"sw","It24"
2,5,10,"it","peat",1,"sw","It15"
2,6,10,"it","peat",1,"sw","It32"
2,7,10,"it","peat",1,"sw","Sw7"
2,8,10,"it","peat",1,"sw","Sw43"
22,1,10,"it","peat",1,"sw","Sw7"
22,2,10,"it","peat",1,"sw","It41"
22,3,10,"it","peat",1,"sw","Sw11"
22,4,10,"it","peat",1,"sw","It24"
22,5,10,"it","peat",1,"sw","It32"
22,6,10,"it","peat",1,"sw","It15"
22,7,10,"it","peat",1,"sw","Sw43"
22,8,10,"it","peat",1,"sw","Sw47"
33,1,10,"it","peat",1,"sw","Sw7"
33,2,10,"it","peat",1,"sw","Sw47"
33,3,10,"it","peat",1,"sw","Sw43"
33,4,10,"it","peat",1,"sw","It32"
33,5,10,"it","peat",1,"sw","It15"
33,6,10,"it","peat",1,"sw","It41"
33,7,10,"it","peat",1,"sw","It24"
33,8,10,"it","peat",1,"sw","Sw11"
80,1,10,"it","peat",1,"sw","It24"
80,2,10,"it","peat",1,"sw","Sw43"
80,3,10,"it","peat",1,"sw","It32"
80,4,10,"it","peat",1,"sw","Sw11"
80,5,10,"it","peat",1,"sw","It41"
80,6,10,"it","peat",1,"sw","Sw47"
80,7,10,"it","peat",1,"sw","It15"
