SampleID	Chamber	Soil	Wash	Genotype	Parentalline	Planted	Treatment	Fraction	Incubationtime	Replicate	Library	Microbe	Condition	Condition_microbe	Microbe_planted	Changed_chamber	Changed_soil	Changed_both	Changed_genotype
ReciprocalRevision128	Swedish	Swedish	none	Swedish	Sw43	Planted	16	Soil	8months		9	Swedish	Control	Control_Swedish	Swedish_Swedish	no	no	no	no
ReciprocalRevision129	Italian	Italian	none	Swedish	Sw11	Planted	1	Soil	6months		9	Italian	Control	Control_Italian	Italian_Swedish	no	no	no	no
ReciprocalRevision13	Swedish	Swedish	Italian	Italian	It24	Planted	18	Soil	8months		9	Italian	Changed_soil_climate	Changed_soil_climate_Italian	Italian_Unplanted	yes	yes	yes	yes
ReciprocalRevision130	Italian	Italian	none	Swedish	Sw47	Planted	1	Soil	6months		9	Italian	Control	Control_Italian	Italian_Swedish	no	no	no	no
ReciprocalRevision131	Italian	Italian	none	Italian	It24	Planted	1	Soil	6months		9	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
ReciprocalRevision132	Italian	Italian	none	Italian	It24	Planted	1	Soil	6months		9	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
ReciprocalRevision133	Italian	Italian	none	Swedish	Sw11	Planted	1	Soil	6months		9	Italian	Control	Control_Italian	Italian_Swedish	no	no	no	no
ReciprocalRevision134	Italian	Italian	Swedish	Italian	It41	Planted	4	Soil	6months		9	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
ReciprocalRevision135	Italian	Italian	Swedish	Italian	It15	Planted	4	Soil	6months		9	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
ReciprocalRevision136	Italian	Swedish	none	Italian	It15	Planted	5	Soil	6months		9	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
ReciprocalRevision137	Italian	Italian	Swedish	Swedish	Sw43	Planted	4	Soil	6months		9	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Swedish	yes	yes	yes	no
ReciprocalRevision138	Italian	Italian	Swedish	Italian	It24	Planted	4	Soil	6months		9	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
ReciprocalRevision139	Italian	Italian	Swedish	Swedish	Sw43	Planted	4	Soil	6months		9	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Swedish	yes	yes	yes	no
ReciprocalRevision14	Swedish	Swedish	Italian	Italian	It24	Planted	18	Soil	8months		9	Italian	Changed_soil_climate	Changed_soil_climate_Italian	Italian_Unplanted	yes	yes	yes	yes
ReciprocalRevision140	Swedish	Swedish	Swedish	Italian	It	Planted	Third	Soil	8months		9	Swedish	Repopulated	Repopulated_Swedish	Swedish_Italian	no	no	no	yes
ReciprocalRevision141	Swedish	Italian	Swedish	Italian	It24	Planted	15	Soil	8months		9	Swedish	Changed_soil	Changed_soil_Swedish	Swedish_Italian	no	yes	no	yes
ReciprocalRevision142	Swedish	Italian	Swedish	Swedish	Sw47	Planted	15	Soil	8months		9	Swedish	Changed_soil	Changed_soil_Swedish	Swedish_Swedish	no	yes	no	no
ReciprocalRevision143	Swedish	Italian	Swedish	Swedish	Sw7	Planted	15	Soil	8months		9	Swedish	Changed_soil	Changed_soil_Swedish	Swedish_Swedish	no	yes	no	no
